Year,ST,STATE,TotalPopulation,WorkForce,Employed,EmployedPercent,Unemployed,UnemployedPercent,H_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90
2006,FL,Florida,"1,81,66,990",9000206,8709524,96.7702739248,290682,3.22972607516,17.22,7.30,9.32,13.31,20.52,30.91
2006,GA,Georgia,"91,55,813",4710786,4489132,95.2947554824,221654,4.70524451758,17.86,6.94,9.27,13.78,21.66,32.96
2006,HI,Hawaii,"13,09,731",638262,621574,97.3853997261,16688,2.61460027387,18.57,7.61,10.16,14.97,22.96,33.96
2006,ID,Idaho,"14,68,669",747379,721346,96.5167605726,26033,3.48323942739,16.73,6.94,9.25,13.47,20.49,29.72
2006,IL,Illinois,"1,26,43,955",6526283,6230845,95.4731046754,295438,4.52689532464,19.67,7.35,9.78,15.21,24.71,36.56
2006,IN,Indiana,"63,32,669",3235120,3072118,94.9614851999,163002,5.03851480007,16.92,7.23,9.51,13.70,20.86,29.61
2006,IA,Iowa,"29,82,644",1657588,1596530,96.3164549936,61058,3.68354500636,15.99,7.05,9.31,13.23,19.31,27.51
2006,KS,Kansas,"27,62,931",1467098,1402804,95.6176070038,64294,4.38239299624,16.81,7.07,9.28,13.47,20.62,29.89
2006,KY,Kentucky,"42,19,239",2029239,1913479,94.2953984228,115760,5.70460157724,16.10,6.92,9.09,13.11,19.64,27.82
2006,LA,Louisiana,"43,02,665",1497192,1432806,95.6995495568,64386,4.30045044323,15.82,6.43,8.34,12.70,19.62,28.20
2006,ME,Maine,"13,23,619",701548,669543,95.4379457999,32005,4.56205420014,16.90,7.82,9.98,13.76,20.23,28.56
2006,MD,Maryland,"56,27,367",2963867,2849355,96.136398833,114512,3.86360116699,21.17,7.80,10.81,16.74,26.43,40.60
2006,MA,Massachusetts,"64,10,084",3413339,3246314,95.1066975768,167025,4.89330242323,22.76,8.88,11.88,17.96,28.21,42.52
2006,MI,Michigan,"1,00,36,081",5076667,4721094,92.9959361132,355573,7.0040638868,19.82,7.60,10.39,15.86,25.22,35.97
2006,MN,Minnesota,"51,63,555",2887839,2772120,95.99288603,115719,4.00711397,19.96,8.19,10.94,16.13,24.23,35.61
2006,MS,Mississippi,"29,04,978",1290175,1205905,93.46832794,84270,6.53167205999,14.64,6.48,8.29,11.68,17.45,25.83
2006,MO,Missouri,"58,42,704",3029697,2882757,95.1500100505,146940,4.84998994949,17.15,7.09,9.17,13.44,21.01,30.95
2006,MT,Montana,"9,52,692",493621,476381,96.5074419443,17240,3.49255805567,15.04,6.65,8.57,12.34,18.55,26.57
2006,NE,Nebraska,"17,72,693",970060,939881,96.8889553224,30179,3.11104467765,16.49,7.18,9.44,13.31,20.03,28.87
2006,NV,Nevada,"25,22,658",1285319,1233288,95.9518998786,52031,4.04810012145,17.31,7.30,9.72,13.82,21.03,30.62
2006,NH,New Hampshire,"13,08,389",731859,706779,96.5731103942,25080,3.42688960578,18.87,8.15,10.62,15.11,22.45,33.52
2006,NJ,New Jersey,"86,61,679",4445880,4236485,95.2901337868,209395,4.70986621321,21.85,8.00,10.96,17.23,27.34,41.51
2006,NM,New Mexico,"19,62,137",928098,889449,95.8356768359,38649,4.16432316415,16.34,6.59,8.61,12.85,20.19,30.12
2006,NY,New York,"1,91,04,631",9508160,9077534,95.4709849224,430626,4.52901507758,22.03,7.90,10.82,16.91,27.23,42.43
2006,NC,North Carolina,"89,17,270",4444969,4234094,95.2558724257,210875,4.74412757434,17.08,7.24,9.34,13.45,20.36,30.29
2006,ND,North Dakota,"6,49,422",361464,349823,96.7794856473,11641,3.22051435274,15.60,7.01,9.05,12.77,19.11,27.27
2006,OH,Ohio,"1,14,81,213",5945504,5624446,94.5999868136,321058,5.40001318643,17.96,7.20,9.73,14.47,22.32,32.16
2006,OK,Oklahoma,"35,94,090",1715800,1647099,95.9959785523,68701,4.00402144772,15.66,6.64,8.52,12.42,18.93,27.80
2006,OR,Oregon,"36,70,883",1885381,1785041,94.6779987705,100340,5.32200122946,18.54,8.41,10.30,14.92,22.32,33.16
2006,PA,Pennsylvania,"1,25,10,809",6294512,6006635,95.4265398175,287877,4.57346018246,18.07,7.17,9.65,14.33,22.21,33.01
2006,RI,Rhode Island,"10,63,096",572603,544357,95.0670883666,28246,4.93291163337,19.51,8.21,10.58,15.59,23.97,34.95
